espn_id,full_name,salary,position,team_id
,"Dominique Jones",4500,"TE","DEN"
,"Peyton Thompson",4500,"CB","JAC"
,"Jerome Smith",4500,"RB","ATL"
,"Jansen Watson",4500,"CB","OAK"
,"Benny Cunningham",4500,"RB","STL"
,"D.J. Morrell",4500,"G","BUF"
,"Ka'Lial Glaud",4500,"LB","TB"
,"Craig Watts",4500,"OG","SD"
,"Cody Booth",4500,"OT","JAC"
,"Melvin White",4500,"CB","CAR"
,"Joe Madsen",4500,"C","GB"
,"Trey Wolfe",4500,"CB","WAS"
,"Adam Gettis",4500,"G","NYG"
,"Greg Ducre",4500,"CB","SD"
,"Ben Malena",4500,"RB","HOU"
,"Chris Harper",4500,"WR","NYG"
,"Andre Hal",4500,"DB","HOU"
,"Adrian Phillips",4500,"SAF","SD"
,"Brandon Thomas",4500,"G","SF"
,"Jeremy Towns",4500,"DT","BUF"
,"Freddie Martino",4500,"WR","ATL"
,"Branden Oliver",4500,"RB","SD"
,"Ikemefuna Enemkpali",4500,"DE","NYJ"
,"Juron Criner",4500,"WR","NYG"
,"Michael Zimmer",4500,"LB","SEA"
,"Walter Powell",4500,"WR","NYJ"
,"Chris Davis",4500,"CB","SD"
,"Steven Means",4500,"DE","BAL"
,"Ryan Pickett",4500,"DT","HOU"
,"Alejandro Villanueva",4500,"OL","PIT"
,"Ricky Havili-Heimuli",4500,"DT","ATL"
,"Fouimalo Fonoti",4500,"G","SF"
,"Chris Kirksey",4500,"LB","CLE"
,"Stephen Morris",4500,"QB","JAC"
,"Robert Steeples",4500,"CB","DAL"
,"Dustin Hopkins",4500,"K","NO"
,"Josh Brent",4500,"DT","DAL"
,"George Winn",4500,"RB","DET"
,"Jordan Mabin",4500,"CB","ATL"
,"Alex Boone",4500,"G","SF"
,"Jackson Jeffcoat",4500,"DE","WAS"
,"Andrew Furney",4500,"K","NYJ"
,"Adam Replogle",4500,"OL","ATL"
,"Rico Richardson",4500,"WR","TEN"
,"Drew Nowak",4500,"OG","SEA"
,"Micah Pellerin",4500,"SAF","DAL"
,"Antone Exum Jr.",4500,"CB","MIN"
,"Brandan Bishop",4500,"SAF","ATL"
,"Steven Baker",4500,"T","STL"
,"JoJo Dickson",4500,"MLB","KC"
,"Evan Rodriguez",4500,"FB","TB"
,"McLeod Bethel-Thompson",4500,"QB","MIA"
,"Tommy Streeter",4500,"WR","JAC"
,"Jordan Palmer",4500,"QB","TEN"
17423.0,"RaShaun Allen",4500,"TE","SEA"
,"Bene Benwikere",4500,"CB","CAR"
,"Spencer Hadley",4500,"MLB","OAK"
,"Uani Unga",4500,"MLB","NYG"
,"Keith Reaser",4500,"CB","SF"
,"R.J. Stanford",4500,"CB","MIA"
,"Matt Daniels",4500,"SAF","JAC"
,"Marcel Jones",4500,"T","BAL"
,"Jeff Mathews",4500,"QB","ARI"
,"Lowell Rose",4500,"CB","MIA"
,"J.J. Unga",4500,"OG","BAL"
,"Kenny Shaw",4500,"WR","OAK"
2273426.0,"Douglas McNeil",4500,"WR","SEA"
,"Travis Harvey",4500,"WR","ARI"
,"Ras-I Dowling",4500,"CB","OAK"
,"Danny Gorrer",4500,"DB","BAL"
,"David Quessenberry",4500,"T","HOU"
,"Kevin Greene",4500,"TE","CAR"
,"Tevita Stevens",4500,"OL","WAS"
,"Brett Brackett",4500,"TE","TEN"
,"Taylor Sloat",4500,"TE","TB"
,"LaKendrick Ross",4500,"DT","WAS"
,"Jay Feely",4500,"K","CHI"
,"Nate Stupar",4500,"LB","ATL"
,"Deontae Skinner",4500,"LB","NE"
,"Michael Bamiro",4500,"G","NYG"
,"Jeremy Cain",4500,"LS","CHI"
,"Marion Grice",4500,"RB","ARI"
,"Mat McBriar",4500,"P","SD"
,"Jonathan Bostic",4500,"LB","CHI"
,"William Poehls",4500,"T","TEN"
,"Will Herring",4500,"LB","STL"
,"Nate Isles",4500,"G","SEA"
,"Charley Hughlett",4500,"LS","CLE"
,"Derrius Brooks",4500,"CB","TB"
